County,County Code,Deaths,Population,Crude Rate/100k
"Nevada County, CA",6057,62,99606,62.2
"Marinette County, WI",55075,25,40262,62.1
"Sussex County, DE",10005,150,241635,62.1
"Accomack County, VA",51001,20,32238,62
"Grand Forks County, ND",38035,43,69481,61.9
"Mercer County, WV",54055,36,58258,61.8
"Umatilla County, OR",41059,48,77752,61.7
"Madison County, IN",18095,80,129681,61.7
"Henry County, VA",51089,31,50309,61.6
"Strafford County, NH",33017,81,131533,61.6
"Walworth County, WI",55127,64,103953,61.6
"Mecosta County, MI",26107,27,43907,61.5
"Washington County, VA",51191,33,53695,61.5
"Ware County, GA",13299,22,35826,61.4
"Allegan County, MI",26005,73,118927,61.4
"Walton County, FL",12131,47,76648,61.3
"Maury County, TN",47119,61,99590,61.3
"Barry County, MI",26015,38,62061,61.2
"Midland County, MI",26111,51,83441,61.1
"Newport County, RI",44005,50,81836,61.1
"Pottawattamie County, IA",19155,57,93328,61.1
"Orange County, VA",51137,23,37695,61
"Highlands County, FL",12055,65,106639,61
"Knox County, OH",39083,38,62423,60.9
"Chilton County, AL",1021,27,44397,60.8
"Glynn County, GA",13127,52,85568,60.8
"Coffee County, TN",47031,35,57632,60.7
"Lubbock County, TX",48303,191,314772,60.7
"Cowley County, KS",20035,21,34628,60.6
"Laramie County, WY",56021,61,100595,60.6
"Cambria County, PA",42021,78,128672,60.6
"Whitman County, WA",53075,30,49500,60.6
"Fremont County, CO",8043,29,47867,60.6
"Genesee County, MI",26049,245,404794,60.5
"Dubuque County, IA",19061,59,97590,60.5
"Henry County, IN",18065,29,48033,60.4
"Florence County, SC",45041,83,137588,60.3
"Coffee County, GA",13069,26,43218,60.2
"Okmulgee County, OK",40111,23,38234,60.2
"Lincoln Parish, LA",22061,28,46552,60.1
"Gaston County, NC",37071,136,226568,60
"Ozaukee County, WI",55089,54,90043,60
"Morgan County, IL",17137,20,33400,59.9
"Richmond County, GA",13245,121,202079,59.9
"Montcalm County, MI",26117,38,63476,59.9
"Kankakee County, IL",17091,65,108594,59.9
"White County, AR",5145,47,78729,59.7
"Jefferson County, TN",47089,33,55307,59.7
"Mobile County, AL",1097,246,412716,59.6
"Floyd County, IN",18043,47,78936,59.5
"St. Clair County, AL",1115,54,90739,59.5
"Lee County, NC",37105,37,62353,59.3
"Manatee County, FL",12081,244,411219,59.3
"Warren County, VA",51187,24,40475,59.3
"Auglaize County, OH",39011,27,45680,59.1
"St. Charles County, MO",29183,240,406204,59.1
"Beaver County, PA",42007,96,162575,59
"Midland County, TX",48329,105,177863,59
"Johnson County, TX",48251,106,179575,59
"Grady County, OK",40051,33,55906,59
"Eaton County, MI",26045,65,110148,59
"Pottawatomie County, OK",40125,43,72998,58.9
"Sanilac County, MI",26151,24,40747,58.9
"Tazewell County, IL",17179,77,130777,58.9
"Latah County, ID",16057,24,40830,58.8
"Blount County, AL",1009,34,57879,58.7
"Clay County, MN",27027,38,64690,58.7
"Wayne County, PA",42127,30,51163,58.6
"Sacramento County, CA",6067,913,1559146,58.6
"Spartanburg County, SC",45083,191,326205,58.6
"Clearfield County, PA",42033,46,78612,58.5
"Watauga County, NC",37189,33,56441,58.5
"Columbus County, NC",37047,32,54754,58.4
"Olmsted County, MN",27109,93,159298,58.4
"Jefferson County, TX",48245,146,250127,58.4
"Rankin County, MS",28121,91,155975,58.3
"Kent County, MI",26081,384,658708,58.3
"Okaloosa County, FL",12091,124,212820,58.3
"Santa Barbara County, CA",6083,259,444766,58.2
"Hopkins County, KY",21107,26,44662,58.2
"Iredell County, NC",37097,108,185770,58.1
"Lamar County, TX",48277,29,49905,58.1
"Saline County, AR",5125,72,123968,58.1
"Grays Harbor County, WA",53027,44,75950,57.9
"Escambia County, AL",1053,21,36281,57.9
"York County, ME",23031,121,209066,57.9
"Fayette County, GA",13113,67,115821,57.8
"Albemarle County, VA",51003,64,110652,57.8
"Campbell County, TN",47013,23,39837,57.7
"Fayette County, TN",47047,24,41620,57.7
"Ogle County, IL",17141,29,50306,57.6
"Clark County, OH",39023,77,133593,57.6
"Roane County, TN",47145,31,53841,57.6
"Douglas County, OR",41019,64,111364,57.5
"Warren County, MO",29219,21,36594,57.4
"Hamilton County, TN",47065,213,371662,57.3
"Tallapoosa County, AL",1123,23,40133,57.3
"Clinton County, OH",39027,24,41921,57.3
"Harrison County, TX",48203,38,66386,57.2
"Newberry County, SC",45071,22,38445,57.2
"Chippewa County, WI",55017,37,64737,57.2
"Laurel County, KY",21125,35,61238,57.2
"Gratiot County, MI",26057,23,40283,57.1
"Stephenson County, IL",17177,25,43831,57
"Hillsdale County, MI",26059,26,45658,56.9
"Covington County, AL",1039,21,36930,56.9
"Ventura County, CA",6111,478,841387,56.8
"Talbot County, MD",24041,21,36972,56.8
"Sumner County, TN",47165,111,195561,56.8
"Putnam County, WV",54079,32,56428,56.7
"Chatham County, GA",13051,164,289463,56.7
"Ector County, TX",48135,95,167701,56.6
"Volusia County, FL",12127,318,561497,56.6
"Henderson County, NC",37089,67,118445,56.6
"Adams County, PA",42001,58,102742,56.5
"Thomas County, GA",13275,25,44372,56.3
"Pierce County, WI",55093,24,42700,56.2
"Nye County, NV",32023,27,48054,56.2
"Cheatham County, TN",47021,23,41101,56
"Trumbull County, OH",39155,110,196800,55.9
"Contra Costa County, CA",6013,643,1152333,55.8
"Tulare County, CA",6107,261,468680,55.7
"Howard County, IN",18067,46,82732,55.6
"Houston County, GA",13153,89,160110,55.6
"Lewis and Clark County, MT",30049,39,70229,55.5
"Columbiana County, OH",39029,56,101118,55.4
"Barnstable County, MA",25001,118,213164,55.4
"Randolph County, NC",37151,80,144557,55.3
"Clinton County, PA",42035,21,37957,55.3
"Warren County, TN",47177,23,41605,55.3
"Georgetown County, SC",45043,35,63353,55.2
"Gila County, AZ",4007,30,54303,55.2
"Montgomery County, AL",1101,124,224639,55.2
"Hall County, GA",13139,114,206591,55.2
"Dale County, AL",1045,27,48959,55.1
"Wood County, WI",55141,40,72560,55.1
"Carroll County, GA",13045,67,121633,55.1
"Knox County, IN",18083,20,36522,54.8
"Jefferson County, CO",8059,319,583283,54.7
"Seneca County, OH",39147,30,54938,54.6
"Franklin County, MO",29071,57,104469,54.6
